iso3,year,education_share,health_social_share,education_health_share,manufacturing_share
BRA,2017,6.091147130380202,5.346697762592679,11.43784489297288,11.76235519779714
BRA,2018,6.297129350493684,5.513939412214209,11.811068762707894,11.686419610160454
BRA,2019,6.357134162381861,5.573719327616202,11.930853489998064,11.64039794218158
BRA,2020,6.765964229351339,6.061812821411193,12.827777050762531,11.789566450361157
BRA,2021,6.3416660314597255,6.084831490569417,12.426497522029143,11.831919486220286
CHL,1998,6.12411466331369,4.031057759463552,10.155172422777241,13.795385419451188
CHL,1999,6.704074668134886,4.439910537452813,11.1439852055877,13.158657662405833
CHL,2000,6.533887780167418,4.35112320568517,10.885010985852588,12.851668799967312
CHL,2001,6.607145428422619,4.423318642671333,11.030464071093952,13.071739106767009
CHL,2002,6.437430882603434,4.335289673624376,10.77272055622781,12.934401046807878
CHL,2003,6.491289651607929,4.3993158671689745,10.890605518776903,12.868394580287468
CHL,2004,6.4756361689434865,4.415561637476797,10.891197806420283,12.759759403840578
CHL,2005,6.457502168464192,4.428610682255687,10.88611285071988,12.602608344668035
CHL,2006,6.441441262250451,4.45130435341397,10.89274561566442,12.48922486666681
CHL,2007,6.428059553926438,4.461357994542036,10.889417548468474,12.29674893128703
CHL,2008,6.413993664846238,4.462842984207085,10.876836649053324,12.023661771914576
CHL,2009,6.509730642127886,4.563980775606353,11.07371141773424,11.778733979125963
CHL,2010,6.49333425778718,4.589550554188582,11.082884811975763,11.60606119239497
CHL,2011,6.50062952017569,4.650883536527211,11.151513056702901,11.860697778469067
CHL,2012,6.890725885492468,4.8663420366464605,11.757067922138928,11.924062043003367
CHL,2013,7.538315358757546,4.748494134078727,12.286809492836273,11.673100416243637
CHL,2014,7.619111059704955,5.384776093553285,13.00388715325824,11.545795921728878
CHL,2015,7.783297748623931,5.644228046670222,13.427525795294153,11.498738933758405
CHL,2016,7.762581160488534,5.435084823906334,13.197665984394868,10.955801121196725
CHL,2017,7.8875006593197385,5.7086391423225615,13.5961398016423,11.049043205494144
CHL,2018,8.126576877764679,5.844467779480772,13.97104465724545,10.645227434153076
CHL,2019,8.217882256923495,6.235302541157278,14.453184798080773,10.102594220223967
CHL,2020,9.072704236469942,6.754449070578923,15.827153307048865,10.109506565591182
CHL,2021,8.529854852562886,6.686875913015865,15.216730765578752,9.981136914939675
COL,1998,4.821563927179652,3.6945517206176754,8.516115647797328,12.333726493038693
COL,1999,4.984634095472146,3.8459453647952957,8.830579460267442,11.562346874929325
COL,2000,5.063822965834619,4.0324564704349735,9.096279436269594,12.819860301039515
COL,2001,5.031265819198154,4.061513271716276,9.09277909091443,12.658682511827427
COL,2002,5.154351083538983,4.230428913041067,9.38477999658005,12.738441759915146
COL,2003,5.106032313956095,4.257946355330786,9.36397866928688,12.786895983153965
COL,2004,4.833767647321149,4.199735381702757,9.033503029023905,13.202263814010585
COL,2005,5.123407272396993,4.05144418333333,9.174851455730323,13.029175392427474
COL,2006,5.053171022159106,4.163588980640163,9.216760002799269,12.701305078373753
COL,2007,5.014639332226219,4.30568459236587,9.320323924592088,12.76269580485195
COL,2008,4.765381818034444,4.263919399909004,9.029301217943448,12.616316433272491
COL,2009,4.6698892368183715,4.235498300976959,8.905387537795331,12.465975536841679
COL,2010,4.666699486232598,4.295624874634338,8.962324360866937,12.396874716369473
COL,2011,4.661601409101554,4.35930693071776,9.020908339819314,12.563423161146662
COL,2012,4.594383507681787,4.351752332767753,8.94613584044954,12.39063604641331
COL,2013,4.786284873205292,4.516583046131162,9.302867919336453,11.626772008315955
COL,2014,4.635259570520792,4.805875600678749,9.44113517119954,11.539434658385186
COL,2015,4.568499936523368,4.7175078213839825,9.28600775790735,11.330093348610673
COL,2016,4.7298563355678835,4.854200042128827,9.584056377696712,10.985185703258518
COL,2017,4.7304314588053,4.63877212422336,9.36920358302866,11.337875103165274
COL,2018,4.644842779221649,4.656006067974702,9.30084884719635,11.492061438243857
COL,2019,4.7544962852049535,4.670933737793361,9.425430022998315,11.302883360406565
COL,2020,4.736598489656465,4.429512561485449,9.166111051141915,10.670383000621024
COL,2021,4.389252904717244,4.298794194580921,8.688047099298165,10.559047824939697
CRI,1998,5.407614073400564,5.803139570125508,11.210753643526072,15.99248806019516
CRI,1999,4.9352540925574635,5.477257864898314,10.412511957455777,15.95860963838492
CRI,2000,5.554290932387967,5.04056801154392,10.594858943931886,14.726943665326607
CRI,2001,5.58379721285588,5.076017919981338,10.659815132837217,14.53085567467132
CRI,2002,5.937567534818297,4.485311294132638,10.422878828950935,13.801399852344684
CRI,2003,6.171254015931229,4.070935658795057,10.242189674726287,13.585121939656798
CRI,2004,5.978539350458962,4.20528060653283,10.183819956991792,13.422170291020603
CRI,2005,5.995683666464722,4.7362704311848,10.731954097649522,13.200133771136661
CRI,2006,6.07460393112987,4.598942555762749,10.673546486892619,12.874803474094174
CRI,2007,5.893197704647569,4.475810166433172,10.369007871080742,12.649958754393266
CRI,2008,5.915736927885864,4.4669978820065035,10.382734809892368,11.859608787967067
CRI,2009,5.992828071907312,4.5511241593977845,10.543952231305097,11.667657574354134
CRI,2010,7.187161092622771,4.508261834559266,11.695422927182037,10.95258312180819
CRI,2011,7.20624227008367,4.523523514104909,11.72976578418858,10.80980772829586
CRI,2012,7.365033086549171,4.623493569608935,11.988526656158106,9.723726350921684
CRI,2013,7.403526730073881,4.664268755597891,12.067795485671772,8.763180217707577
CRI,2014,7.145642176846149,4.518027183918677,11.663669360764825,9.0799592199494
CRI,2015,7.121292851460689,4.517742335128649,11.63903518658934,10.577587668392429
CRI,2016,6.772213654263885,4.3085849980740125,11.080798652337897,9.999697035710833
CRI,2017,6.787812895403032,4.32977802315207,11.117590918555102,9.889421405536186
CRI,2018,5.752614226691513,4.413974114483442,10.166588341174954,10.67822920276746
CRI,2019,5.8259407561445045,5.11651881512289,10.942459571267396,10.100701280888435
CRI,2020,6.812835473040481,5.1843135625579935,11.997149035598476,10.186905348377561
CRI,2021,6.22891632949351,4.775062573945113,11.003978903438622,10.116093531431728
DOM,1998,4.920822605063376,2.68560137248185,7.606423977545226,18.973843280695746
DOM,1999,4.866074163228572,2.657447253933026,7.523521417161598,18.007473271040368
DOM,2000,4.888553648133613,2.669593919349671,7.558147567483284,17.766217600490535
DOM,2001,4.949048349299291,2.7427920840718834,7.6918404333711745,16.146428737394864
DOM,2002,5.390656298720417,2.7175796541121846,8.108235952832601,14.931387171355892
DOM,2003,5.432097418221978,3.0779713587962467,8.510068777018224,15.217248270945955
DOM,2004,5.496674817629719,2.825518589732026,8.322193407361745,15.960377735243203
DOM,2005,5.589940132990067,2.877329397432869,8.467269530422936,15.500062904854108
DOM,2006,5.569573778362631,2.7952601049616272,8.364833883324259,14.844253573028762
DOM,2007,5.834049910561966,2.4963328106534726,8.330382721215438,14.786935149377612
DOM,2008,5.656226146415307,2.550648036619026,8.206874183034333,13.8368849174089
DOM,2009,6.105618022545354,3.0170363650412533,9.122654387586607,11.191887336197052
DOM,2010,5.931314809952923,3.032855038918173,8.964169848871096,11.150751259681584
DOM,2011,6.178383642396858,2.8642702755815317,9.04265391797839,10.814958891730699
DOM,2012,5.83873515354161,3.3539662352048243,9.192701388746435,10.917275226158486
DOM,2013,6.402445545068732,3.318932197537956,9.721377742606688,10.484999495858402
DOM,2014,6.34055888619135,3.3032998067680723,9.643858692959423,10.371723727889808
DOM,2015,6.3187599747141885,3.2913131519293666,9.610073126643556,10.233619735784055
DOM,2016,6.358349460923695,3.4224456495987914,9.780795110522487,10.564326889504194
DOM,2017,6.570040456541092,3.614026869359468,10.18406732590056,10.392412148974921
DOM,2018,6.6157081236752555,3.756187518198583,10.371895641873838,10.238616914153045
DOM,2019,6.195710786973428,3.872762695933662,10.06847348290709,10.475449547655975
DOM,2020,6.074077620812438,4.135519099518597,10.209596720331035,10.499897255423019
DOM,2021,6.095144201502835,3.8963249253415797,9.991469126844414,9.935141991762341
ECU,1998,5.711930627600408,1.680485188115065,7.392415815715473,12.273423551269431
ECU,1999,4.872287914959948,1.452190977235642,6.3244788921955895,13.025628702146525
ECU,2000,4.628772004643492,1.470466188788377,6.099238193431869,12.649821588201215
ECU,2001,4.616434134795299,1.4929436036215984,6.109377738416898,12.508651211519354
ECU,2002,4.927336708340687,1.677156579949672,6.604493288290358,11.637192573470537
ECU,2003,5.229014385250548,1.871027973187515,7.100042358438063,10.778025166156235
ECU,2004,5.310234539174235,1.9013286859184753,7.211563225092711,10.769738780622443
ECU,2005,5.130089970874387,1.8875135828850345,7.017603553759422,10.21977027974637
ECU,2006,5.122434379161529,1.918551339429051,7.04098571859058,10.176755753818155
ECU,2007,4.944446071800329,2.1026505145459207,7.04709658634625,10.018306953360888
ECU,2008,5.1639730108926365,2.1499226540163856,7.3138956649090225,10.221418393939075
ECU,2009,5.1393643514433665,2.0857607610320574,7.225125112475424,9.846981645855443
ECU,2010,5.672597995128079,2.174017124666505,7.846615119794585,10.13643758480958
