iso3,year,cate,cate_lb,cate_ub,k_l2,antisys_l5,milexp_gdp_l1,dem_l1,ln_gdppc,resource_rents,urban_share,decade,v2x_polyarchy_l1,abs_red_l1
CHL,2012,-0.13708067077019737,,,12.139403844003057,-1.4284,2.26361278130337,1.0,9.463651038951573,9.05442637303188,87.0824943735696,2010,0.889,5.9
CHL,2013,-0.14840469194415085,,,12.167070226574998,-1.3195999999999999,2.04588028294284,1.0,9.48666314331262,7.66232423505302,87.1827777654221,2010,0.893,5.9
CHL,2014,-0.1534605795900869,,,12.19595178257723,-1.2472,1.99462247217943,1.0,9.49446266864666,6.87780503013052,87.3133701497978,2010,0.894,6.0
CHL,2015,-0.1527782058703431,,,12.23425286838413,-1.1748,1.9671068502734,1.0,9.505538153004625,4.04461870413776,87.4653320342387,2010,0.893,6.0
CHL,2016,-0.1520206231503946,,,12.273364513646493,-1.2112,1.9096233898132,1.0,9.510822501382549,3.20569572328577,87.6306290578181,2010,0.886,6.0
CHL,2017,-0.15104170368410874,,,12.302522225707486,-1.2369999999999999,1.92415844717468,1.0,9.508468631529055,5.30261792520974,87.8000295757281,2010,0.886,6.0
CHL,2018,-0.15250407199819016,,,12.333048130163272,-1.231,1.94059250989466,1.0,9.529739611195893,5.83707726201581,87.9620493753008,2010,0.889,6.0
CHL,2019,-0.1532208997459597,,,12.357919061675682,-1.2186,1.87761395069212,1.0,9.520170003201258,2.56889266052365,88.1273685623538,2010,0.87,5.5
CHL,2020,-0.1879547539015607,,,12.386316804405222,-1.1186,1.86471710953666,1.0,9.447842436877993,5.48716936741024,88.2953490438375,2020,0.829,5.1
CHL,2021,-0.18743575657010725,,,12.410587070667583,-0.9882,2.06553058219768,1.0,9.550822529675072,16.9044168802743,88.4660511664452,2020,0.837,4.7
COL,1990,-0.3166923536839468,,,11.213567327402497,1.526,2.18818380743982,0.0,8.21991455026638,6.90290637643892,69.4907571843537,1990,0.443,1.0
COL,1991,-0.303728785254085,,,11.202196164833689,1.526,1.86015929954807,0.0,8.21964319754469,4.19951137793811,69.9576034637361,1990,0.473,1.1
COL,1992,-0.2961866547219911,,,11.205510620812337,1.526,1.85348178319724,1.0,8.239486345038191,3.65200984470421,70.4190206034906,1990,0.516,1.3
COL,1993,-0.2814363359437843,,,11.16579272665913,1.526,2.10667794255338,1.0,8.271972494361634,2.98064670992827,70.8733475069429,1990,0.558,1.5
COL,1994,-0.27071597188149016,,,11.183635399300886,1.526,2.52526701829097,1.0,8.308771110830051,2.41695103636019,71.3349044726196,1990,0.558,1.5
COL,1995,-0.2712978960708904,,,11.170202447988606,1.526,2.50840701347047,1.0,8.340391024919066,3.12840978420135,71.8237121859285,1990,0.558,1.4
COL,1996,-0.26548749922918946,,,11.183079255057748,1.526,2.83162658057701,1.0,8.342528151552576,3.72384039434735,72.3326212825811,1990,0.56,1.5
COL,1997,-0.25997654304511153,,,11.184427009698044,1.526,4.44539325396431,1.0,8.358360053638616,3.06670230612638,72.8506360383423,1990,0.554,1.6
