iso3,country,year,summary_abs_red,draw_mean_abs_red,available_draws,mean_minus_summary,absolute_difference
COL,Colombia,2004,1.3,1.3089562606811525,100,0.008956260681152406,0.008956260681152406
COL,Colombia,2005,1.3,1.2910311508178711,100,-0.008968849182128924,0.008968849182128924
COL,Colombia,2006,1.2,1.303574562072754,100,0.10357456207275395,0.10357456207275395
COL,Colombia,2007,1.8,1.8066878890991211,100,0.006687889099121103,0.006687889099121103
COL,Colombia,2008,2.1,2.0423742294311524,100,-0.057625770568847656,0.057625770568847656
COL,Colombia,2009,2.3,2.2861851119995116,100,-0.013814888000488246,0.013814888000488246
COL,Colombia,2010,2.6,2.5357019805908205,100,-0.06429801940917956,0.06429801940917956
COL,Colombia,2011,2.7,2.6793344497680662,100,-0.02066555023193395,0.02066555023193395
COL,Colombia,2012,2.7,2.6595526504516602,100,-0.04044734954833995,0.04044734954833995
COL,Colombia,2013,2.9,2.8372776031494142,100,-0.06272239685058567,0.06272239685058567
COL,Colombia,2014,3.1,3.0747228622436524,100,-0.025277137756347656,0.025277137756347656
COL,Colombia,2015,3.1,3.1374399566650393,100,0.03743995666503919,0.03743995666503919
COL,Colombia,2016,3.1,3.0949692916870117,100,-0.005030708312988352,0.005030708312988352
COL,Colombia,2017,2.9,3.035798454284668,100,0.13579845428466797,0.13579845428466797
COL,Colombia,2018,3.0,3.0019733810424807,100,0.001973381042480682,0.001973381042480682
COL,Colombia,2019,3.1,3.062614402770996,100,-0.03738559722900403,0.03738559722900403
COL,Colombia,2020,3.4,3.2178648376464842,100,-0.18213516235351568,0.18213516235351568
COL,Colombia,2021,4.2,4.151784591674804,100,-0.048215408325195774,0.048215408325195774
COL,Colombia,2022,4.3,4.377511405944825,100,0.07751140594482475,0.07751140594482475
COL,Colombia,2023,4.4,4.228121910095215,100,-0.17187808990478537,0.17187808990478537
COL,Colombia,2024,4.3,4.164039764404297,100,-0.1359602355957028,0.1359602355957028
CRI,Costa Rica,1990,3.9,4.0404736328125,100,0.1404736328124998,0.1404736328124998
CRI,Costa Rica,1991,3.9,3.9352805328369143,100,0.03528053283691435,0.03528053283691435
CRI,Costa Rica,1992,3.9,4.0678299713134765,100,0.16782997131347654,0.16782997131347654
CRI,Costa Rica,1993,4.0,4.10704475402832,100,0.10704475402831992,0.10704475402831992
CRI,Costa Rica,1994,4.0,4.114779739379883,100,0.11477973937988306,0.11477973937988306
CRI,Costa Rica,1995,4.1,4.122926406860351,100,0.022926406860351634,0.022926406860351634
CRI,Costa Rica,1996,4.2,4.350345916748047,100,0.15034591674804698,0.15034591674804698
CRI,Costa Rica,1997,4.2,4.327539176940918,100,0.12753917694091754,0.12753917694091754
